URL,Count
"/check-uk-visa/y/pakistan/transit",58
"/check-uk-visa/y/south-sudan/study",1
"/check-uk-visa/y/egypt/work/longer_than_six_months",79
"/check-uk-visa/y/democratic-republic-of-congo/study/longer_than_six_months",2
"/check-uk-visa/y/india/marriage",135
"/check-uk-visa/y/usa/study",246
"/check-uk-visa/y/montenegro/study",2
"/check-uk-visa/y/benin/study/six_months_or_less",1
"/check-uk-visa/y/russia/medical",4
"/check-uk-visa/y/japan/study",123
"/check-uk-visa/y/timor-leste/work/longer_than_six_months",3
"/check-uk-visa/y/argentina/study/six_months_or_less",39
"/check-uk-visa/y/gambia/family",14
"/check-uk-visa/y/jamaica/study/six_months_or_less",10
"/check-uk-visa/y/the-occupied-palestinian-territories/medical",1
"/check-uk-visa/y/suriname/transit/yes",1
"/check-uk-visa/y/mexico",235
"/check-uk-visa/y/st-kitts-and-nevis/family",5
"/check-uk-visa/y/ecuador/transit/yes",5
"/check-uk-visa/y/benin/transit/no",3
"/check-uk-visa/y/syria/transit",24
"/check-uk-visa/y/somalia/medical",1
"/check-uk-visa/y/ecuador/transit/no",18
"/check-uk-visa/y/malawi/tourism",53
"/check-uk-visa/y/kosovo/transit",3
"/check-uk-visa/y/hong-kong/study",77
"/check-uk-visa/y/singapore/marriage",10
"/check-uk-visa/india/transit/no",1
"/check-uk-visa/y/hong-kong/tourism",134
"/check-uk-visa/y/cape-verde/work",2
"/check-uk-visa/y/botswana/tourism",37
"/check-uk-visa/y/democratic-republic-of-congo/marriage",1
"/check-uk-visa/y/pakistan/study",123
"/check-uk-visa/y/cameroon/family",11
"/check-uk-visa/y/gambia/study",4
"/check-uk-visa/y/iran/marriage",32
"/check-uk-visa/y/samoa/study/six_months_or_less",1
"/check-uk-visa/y/tanzania/work",12
"/check-uk-visa/y/chile/study/six_months_or_less",59
"/check-uk-visa/y/canada/transit",24
"/check-uk-visa/y/mongolia/study/six_months_or_less",2
"/check-uk-visa/y/eritrea/study/six_months_or_less",1
"/check-uk-visa/y/bolivia/work/longer_than_six_months",6
"/check-uk-visa/y/zimbabwe/marriage",20
"/check-uk-visa/y/the-occupied-palestinian-territories/study/six_months_or_less",7
"/check-uk-visa/y/turkey/study/six_months_or_less",164
"/check-uk-visa/y/honduras/tourism",19
"/check-uk-visa/y/bhutan/tourism",4
"/check-uk-visa/china",1
"/check-uk-visa/y/uruguay/tourism",32
"/check-uk-visa/y/togo/marriage",1
"/check-uk-visa/y/cameroon/work/longer_than_six_months",5
"/check-uk-visa/y/dominican-republic/tourism",89
"/check-uk-visa/y/namibia/study",3
"/check-uk-visa/y/anguilla/work/longer_than_six_months",2
"/check-uk-visa/y/kazakhstan/work/six_months_or_less",70
"/check-uk-visa/y/India/work",1
"/check-uk-visa/y/algeria/work/six_months_or_less",120
"/check-uk-visa/y/chad",11
"/check-uk-visa/y/maldives/tourism",9
"/check-uk-visa/y/indonesia/work/six_months_or_less",91
"/check-uk-visa/y/uganda/family",20
"/check-uk-visa/y/bosnia-and-herzegovina/tourism",57
"/check-uk-visa/y/bermuda/work/longer_than_six_months",4
"/check-uk-visa/y/uruguay/study/six_months_or_less",8
"/check-uk-visa/y/south-korea/work/six_months_or_less",65
"/check-uk-visa/y/sierra-leone",49
"/check-uk-visa/y/turkey/medical",2
"/check-uk-visa/y/algeria",439
"/check-uk-visa/y/the-occupied-palestinian-territories/transit/yes",5
"/check-uk-visa/y/south-africa/transit/yes",222
"/check-uk-visa/y/china/family",345
"/check-uk-visa/y/thailand/marriage",77
"/check-uk-visa/y/hong-kong-(british-national-overseas)/study",12
"/check-uk-visa/y/cuba/tourism",55
"/check-uk-visa/y/pakistan/work/longer_than_six_months",223
"/check-uk-visa/y/yemen/family",7
"/check-uk-visa/y/ethiopia/study",15
"/check-uk-visa/y/ghana/study/longer_than_six_months",37
"/check-uk-visa/y/south-korea/work",116
"/check-uk-visa/y/cameroon/tourism",123
"/check-uk-visa/y/laos",10
"/check-uk-visa/y/israel/marriage",8
"/check-uk-visa/y/argentina",154
"/check-uk-visa/y/guyana/family",4
"/check-uk-visa/y/azerbaijan/study/longer_than_six_months",6
"/check-uk-visa/y/the-occupied-palestinian-territories/work/six_months_or_less",5
"/check-uk-visa/y/anguilla/work/six_months_or_less",1
"/check-uk-visa/y/usa/medical",10
"/check-uk-visa/y/russia/study/longer_than_six_months",83
"/check-uk-visa/y/the-occupied-palestinian-territories/transit/no",15
"/check-uk-visa/y/usa",1890
"/check-uk-visa/y/canas",1
"/check-uk-visa/y/albania/work/six_months_or_less",42
"/check-uk-visa/y/afghanistan/study",69
"/check-uk-visa/y/bangladesh/tourism",383
"/check-uk-visa/y/south-africa/transit/no",155
"/check-uk-visa/y/the-occupied-palestinian-territories/family",2
"/check-uk-visa/y/south-georgia-and-south-sandwich-islands/family",1
"/check-uk-visa/y/senegal/tourism",54
"/check-uk-visa/y/haiti/work/six_months_or_less",1
"/check-uk-visa/y/el-salvador/transit",1
"/check-uk-visa/y/central-african-republic/work/six_months_",1
"/check-uk-visa/y/cambodia/tourism",24
"/check-uk-visa/y/panama/study/longer_than_six_months",3
"/check-uk-visa/y/indonesia",477
"/check-uk-visa/y/ethiopia/school",1
"/check-uk-visa/y/nepal/transit/yes",5
"/check-uk-visa/y/india/study/longer_than_six_months",221
"/check-uk-visa/y/moldova/transit/yes",3
"/check-uk-visa/y/bangladesh/transit",15
"/check-uk-visa/y/sri-lanka/study/longer_than_six_months",35
"/check-uk-visa/y/venezuela/study/longer_than_six_months",91
"/check-uk-visa/y/ethiopia/work/six_months_or_less",25
"/check-uk-visa/y/montenegro/study/six_months_or_less",1
"/check-uk-visa/y/cameroon/study/longer_than_six_months",4
"/check-uk-visa/y/libya/work",28
"/check-uk-visa/y/colombia/transit/no",67
"/check-uk-visa/y/sudan/tourism",127
"/check-uk-visa/y/morocco/study/six_months_or_less",18
"/check-uk-visa/y/mongolia/work",4
"/check-uk-visa/y/liberia/family",1
"/check-uk-visa/y/qatar/study/longer_than_six_months",10
"/check-uk-visa/y/colombia/study/six_months_or_less",87
"/check-uk-visa/y/nepal/school",1
"/check-uk-visa/y/croatia",87
"/print/check-uk-visa/y/usa/work/longer_than_six_months",1
"/check-uk-visa/y/costa-rica/marriage",2
"/check-uk-visa/y/cyprus",14
"/check-uk-visa/y/british-virgin-islands/work/six_months_or_less",4
"/check-uk-visa/y/st-lucia/tourism",7
"/check-uk-visa/y/st-vincent-and-the-grenadines/tourism",7
"/check-uk-visa/y/algeria/study/longer_than_six_months",25
"/check-uk-visa/y/cuba/family",10
"/check-uk-visa/y/peru/work",37
"/check-uk-visa/y/panama/study/six_months_or_less",4
"/check-uk-visa/y/gambia/marriage",6
"/check-uk-visa/y/botswana/study/longer_than_six_months",6
"/check-uk-visa/y/equatorial-guinea/study/six_months_or_less",2
"/check-uk-visa/y/Poland",1
"/check-uk-visa/y/mauritius/study",7
"/check-uk-visa/y/australia/family",242
"/check-uk-visa/y/kosovo/work/six_months_or_less",4
"/check-uk-visa/y/libya/transit",7
"/check-uk-visa/y/bangladesh/study/longer_than_six_months",81
"/check-uk-visa/y/burma/study",4
"/check-uk-visa/y/mauritania/tourism",4
"/check-uk-visa/y/australia",1207
"/check-uk-visa/y/syria/transit/yes",16
"/check-uk-visa/login",6
"/check-uk-visa/y/grenada/work/six_months_or_less",5
"/check-uk-visa/y/brunei",10
"/check-uk-visa/y/benin/transit",3
"/check-uk-visa/y/sierra-leone/medical",1
"/check-uk-visa/y/zambia/study/longer_than_six_months",8
"/check-uk-visa/y/yemen",45
"/check-uk-visa/y/ethiopia/tourism",52
"/check-uk-visa/y/british-dependent-territories-citizen/family",5
"/check-uk-visa/y/taiwan/family",18
"/check-uk-visa/y/tunisia/work/longer_than_six_months",14
"/check-uk-visa/y/fiji/study/longer_than_six_months",3
"/check-uk-visa/y/philippines/transit/yes",76
"/check-uk-visa/y/brazil/study",82
"/check-uk-visa/y/sri-lanka/study/six_months_or_less",16
"/check-uk-visa/y/moldova/work/longer_than_six_months",7
"/check-uk-visa/y/hong-kong-(british-national-overseas)/tourism",24
"/check-uk-visa/y/egypt/medical",13
"/check-uk-visa/y/el-salvador/work",3
"/check-uk-visa/y/japan/transit",3
"/check-uk-visa/y/british-overseas-citizen/study/six_months_or_less",4
"/check-uk-visa/y/andorra/tourism",2
"/check-uk-visa/y/morocco/study/longer_than_six_months",16
"/check-uk-visa/y/uzbekistan/transit/no",1
"/check-uk-visa/y/somalia/study/six_months_or_less",1
"/check-uk-visa/y/vietnam/transit/no",12
"/check-uk-visa/y/zambia/transit/yes",3
"/check-uk-visa/y/angola",128
"/print/check-uk-visa/y/canada/family",1
"/check-uk-visa/y/guatemala/tourism",22
"/check-uk-visa/y/dominican-republic/transit",4
"/check-uk-visa/y/cape-verde/study/longer_than_six_months",1
"/check-uk-visa/y/ecuador/marriage",2
"/check-uk-visa/y/iraq/medical",10
"/check-uk-visa/y/oman/work/six_months_or_less",30
"/check-uk-visa/y/south-sudan/work/six_months_or_less",5
"/check-uk-visa/y/kiribati/study/six_months_or_less",1
"/check-uk-visa/y/mexico/school",2
"/check-uk-visa/y/sri-lanka/work",57
"/print/check-uk-visa/y/australia/work/six_months_or_less",1
"/check-uk-visa/y/chile/transit",8
"/check-uk-visa/y/sierra-leone/study/longer_than_six_months",3
"/check-uk-visa/y/malawi/study/longer_than_six_months",7
"/check-uk-visa/y/indonesia/study/longer_than_six_months",26
"/check-uk-visa/y/tajikistan/work/six_months_or_less",2
"/check-uk-visa/y/lesotho/work/longer_than_six_months",2
"/check-uk-visa/y/bangladesh/transit/yes",5
"/check-uk-visa/y/vatican-city/work/six_months_or_less",1
"/check-uk-visa/y/kazakhstan/study/six_months_or_less",47
"/check-uk-visa/y/philippines/marriage",130
"/check-uk-visa/y/belgium",50
"/check-uk-visa/y/lebanon/transit/yes",19
"/check-uk-visa/y/yemen/transit",1
"/check-uk-visa/y/belarus/school",2
"/check-uk-visa/y/st-kitts-and-nevis/study/six_months_or_l",2
"/check-uk-visa/y/belize/study/longer_than_six_months",4
"/check-uk-visa/y/comoros/work/six_months_or_less",3
"/check-uk-visa/y/indonesia/study",37
"/check-uk-visa/y/seychelles/work",1
"/check-uk-visa/y/sierra-leone/work/six_months_or_less",5
"/check-uk-visa/y/samoa/tourism",5
"/check-uk-visa/y/eritrea/marriage",4
"/check-uk-visa/y/seychelles",10
"/check-uk-visa/y/turks-and-caicos-islands",3
"/check-uk-visa/y/tonga/transit",1
"/check-uk-visa/y/macedonia/transit/no",4
"/check-uk-visa/y/kazakhstan/study",43
"/check-uk-visa/y/cote-d-ivoire/work",12
"/check-uk-visa/y/guinea/tourism",21
"/check-uk-visa/y/turkey/work/six_months_or_less",361
"/check-uk-visa/y/kenya/transit/yes",25
"/check-uk-visa/y/indonesia/transit/no",8
"/check-uk-visa/y/tunisia/study",7
"/check-uk-visa/y/moldova/transit",2
"/check-uk-visa/y/turkey/study/longer_than_six_months",29
"/check-uk-visa/y/sierra-leone/study",4
"/check-uk-visa/y/cyprus-north/work",5
"/check-uk-visa/y/burundi/work",3
"/check-uk-visa/y/pakistan/study/longer_than_six_months",159
"/check-uk-visa/y/turkey/transit/yes",30
"/check-uk-visa/y/portugal",74
"/check-uk-visa/y/vietnam",197
"/check-uk-visa/y/mauritius/marriage",7
"/check-uk-visa/y/saudi-arabia",870
"/check-uk-visa/y/cayman-islands",6
"/check-uk-visa/y/madagascar/family",5
"/print/check-uk-visa/y/belgium",1
"/check-uk-visa/y/georgia/family",4
"/check-uk-visa/y/somalia/study/longer_than_six_months",1
"/check-uk-visa/y/brunei/tourism",11
"/check-uk-visa/y/belarus/family",15
"/check-uk-visa/y/suriname/work/six_months_or_less",3
"/check-uk-visa/y/bangladesh/school",8
"/check-uk-visa/y/dominican-republic/study/longer_than_six_months",1
"/check-uk-visa/y/south-africa/transit",275
"/check-uk-visa/y/equatorial-guinea/transit/no",1
"/check-uk-visa/y/mozambique/family",1
"/check-uk-visa/y/ghana/study/six_months_or_less",23
"/check-uk-visa/y/jordan/family",11
